brand,model,type,year,transmisi, avg_2nd_price , new_price ,residu,depresiasi_residu,estimasi_1,depresiasi,estimasi_2,estimasi_3,avg_estimasi,estimator,correction,output
Toyota,Kijang Innova,G,2018,Automatic,170000000,340600000,34098458.86,30650154.11,126048921.2,34060000,102180000,144807043.7,124345321.6,156303596.5,166256431.5,156303596.5
Mitsubishi,Xpander Cross,Premium,2021,Automatic,189000000,314500000,31485511.78,28301448.82,201294204.7,31450000,188700000,183416400,191136868.2,189641060.5,184838032.7,184838032.7
Toyota,Calya,G,2017,Automatic,85000000,147600000,14776666.26,13282333.37,41341333.01,14760000,29520000,56477297.95,42446210.32,72233863.1,83128215.77,72233863.1
Mercedes-Benz,C250,AMG,2016,Automatic,375000000,909000000,91002639.77,81799736.02,254602111.8,90900000,181800000,313035755.1,249812622.3,337443786.7,366742128.4,337443786.7
Toyota,Alphard,G,2015,Automatic,289000000,904700000,90572154.24,81412784.58,253397723.4,90470000,180940000,280399453.1,238245725.5,273773717.7,282635933.6,273773717.7
BMW,X5,xDrive35i xLine,2017,Automatic,405000000,1399000000,140057968.1,125894203.2,391846374.5,139900000,279800000,535309890.5,402318755,404195626.5,396081498.6,404195626.5
Honda,CR-V,Turbo Prestige,2022,Automatic,399000000,668400000,66915472.41,60148452.76,487954641.7,66840000,467880000,433123200,462985947.2,418195784.2,390213624.6,390213624.6
Toyota,Veloz,Q TSS (Premium Color),2022,Automatic,209000000,314900000,31525556.95,28337444.31,229887667.1,31490000,220430000,204055200,218124289,211737286.7,204397612.9,204397612.9
Honda,HR-V,Special Edition,2023,Automatic,299000000,405900000,40635832.21,36526416.78,332847166.4,40590000,324720000,292248000,316605055.5,304281516.6,292415723.7,292415723.7
Toyota,Rush,TRD Sportivo,2019,Automatic,180000000,263650000,26394770.05,23725522.99,121296862,26365000,105460000,124546150.8,117101004.3,161130301.3,176036221.6,161130301.3
Toyota,Calya,G,2022,Automatic,123000000,174900000,17509748.84,15739025.12,127682924.7,17490000,122430000,113335200,121149374.9,122444812.5,120291418.1,122444812.5
Toyota,Vellfire,G,2017,Automatic,495000000,1096300000,109753788.8,98654621.12,307063031,109630000,219260000,419485513.2,315269514.7,441080854.4,484099609.5,441080854.4
BMW,X5,xDrive40i xLine,2020,Automatic,728000000,1569000000,157077163.7,141192283.6,863038581.8,156900000,784500000,823536720,823691767.3,756707530.2,711968718.6,711968718.6
Toyota,Alphard,G,2019,Automatic,615000000,1156350000,115765569.3,104058443.1,531999341.6,115635000,462540000,546250489.2,513596610.3,584578983.1,601457090.5,584578983.1
Toyota,Agya,G,2023,Automatic,139000000,175400000,17559805.3,15784019.47,143831961.1,17540000,140320000,126288000,136813320.4,138343996.1,135939082.3,138343996.1
Mercedes-Benz,C200,EQ Boost Avantgarde Line,2019,Automatic,293000000,845000000,84595413.21,76040458.68,388757247.9,84500000,338000000,399171240,375309496,317692848.8,286547849.6,286547849.6
Toyota,Rush,TRD Sportivo,2020,Automatic,185000000,275650000,27596125.03,24805387.5,151623062.5,27565000,137825000,144683172,144710411.5,172913123.5,180926116.7,172913123.5
Toyota,Avanza,Veloz,2021,Automatic,165000000,228700000,22895823.67,20580417.63,146378329.5,22870000,137220000,133377840,138992056.5,157197616.9,161366536.5,157197616.9
Hyundai,IONIQ 5,Signature Long Range,2022,Automatic,425000000,829000000,82993606.57,74600639.34,605198082,82900000,580300000,537192000,574230027.3,469769008.2,415641078.8,415641078.8
Honda,CR-V,Turbo Prestige,2021,Automatic,349000000,577000000,57765151.98,51923484.8,369306060.8,57700000,346200000,336506400,350670820.3,349501246.1,341314674.1,341314674.1
Toyota,Kijang Innova Zenix,V HV Modellista (Premium Color),2023,Automatic,273000000,535750000,53635494.23,48211450.58,439327098.8,53575000,428600000,385740000,417889032.9,316466709.9,266988269.5,266988269.5
Honda,Brio,Satya E,2018,Automatic,110000000,146000000,14616485.6,13138351.44,54031539.92,14600000,43800000,62072308.8,53301282.91,92990384.87,107577691,92990384.87
Honda,Brio,RS,2021,Automatic,136000000,205700000,20593226.62,18510677.34,131657290.6,20570000,123420000,119964240,125013843.5,132704153.1,133005145.2,132704153.1
Daihatsu,Sigra,R,2023,Automatic,125000000,173900000,17409635.93,15649036.41,142601927.2,17390000,139120000,125208000,135643309.1,128192992.7,122247376.1,122247376.1
Daihatsu,Sigra,D,2024,Manual,92000000,138000000,13815582.28,12418441.77,125581558.2,13800000,124200000,110400000,120060519.4,100418155.8,89974068.83,89974068.83
Toyota,Avanza,G,2024,Automatic,201000000,272500000,27280769.35,24521923.07,247978076.9,27250000,245250000,218000000,237076025.6,211822807.7,196573780.8,196573780.8
Daihatsu,Ayla,X,2022,Manual,98000000,126300000,12644261.17,11365573.88,92203278.35,12630000,88410000,81842400,87485226.12,94845567.84,95841942.88,94845567.84
Toyota,Calya,G,2019,Manual,100000000,146400000,14656530.76,13174346.92,67353918.46,14640000,58560000,69158188.8,65024035.75,89507210.73,97797900.9,89507210.73
BMW,X1,sDrive18i xLine,2019,Automatic,300000000,695000000,69578475.95,62542152.4,319747085.6,69500000,278000000,328312440,308686508.5,302605952.6,293393702.7,293393702.7
Toyota,Avanza,E,2023,Automatic,133000000,243800000,24407528.69,21939247.13,199921505.7,24380000,195040000,175536000,190165835.2,150149750.6,130071208.2,130071208.2
Honda,CR-V,Turbo Prestige,2017,Automatic,255000000,508000000,50857360.84,45714263.92,142285888.7,50800000,101600000,194379860.2,146088582.9,222326574.9,249384647.3,222326574.9
Mercedes-Benz,E300,AMG Line,2018,Automatic,439000000,1379000000,138055709.8,124094429,510338996.9,137900000,413700000,586285711.2,503441569.4,458332470.8,429332785,429332785
Toyota,Fortuner,VRZ 4X2,2017,Automatic,305000000,504100000,50466920.47,45363307.95,141193536.4,50410000,100820000,192887573.8,144967036.7,256990111,298283597.7,256990111
Toyota,Kijang Innova Zenix,V (Premium Color),2023,Automatic,335000000,470600000,47113137.82,42348686.22,385902627.6,47060000,376480000,338832000,367071542.5,344621462.8,327622968,327622968
Mitsubishi,Pajero Sport,Dakar 4X2,2021,Automatic,420000000,575700000,57635005.19,51806499.48,368474002.1,57570000,345420000,335748240,349880747.4,398964224.2,410751183.8,398964224.2
Hyundai,Creta,Style,2022,Automatic,215000000,359000000,35940536.5,32305946.35,262082160.9,35900000,251300000,232632000,248671387,225101416.1,210265486.9,210265486.9
BMW,320i,Luxury,2018,Automatic,315000000,749000000,74984573.36,67401542.66,277189201.4,74900000,224700000,318439447.2,273442882.9,302532864.9,308063387.8,302532864.9
Toyota,Kijang Innova,G,2022,Automatic,239000000,402000000,40245391.85,36175460.82,293473617.6,40200000,281400000,260496000,278456539.2,250836961.8,233736983.2,233736983.2
Honda,HR-V,Special Edition,2022,Automatic,210000000,405100000,40555741.88,36454425.81,295736722.6,40510000,283570000,262504800,280603840.9,231181152.3,205375591.9,205375591.9
Toyota,Alphard,G,2017,Automatic,475000000,1096300000,109753788.8,98654621.12,307063031,109630000,219260000,419485513.2,315269514.7,427080854.4,464540029.3,427080854.4
Mitsubishi,Pajero Sport,Dakar 4x2,2022,Automatic,425000000,593700000,59437037.66,53426296.23,433421111.3,59370000,415590000,384717600,411242903.8,420872871.1,415641078.8,420872871.1
Toyota,Agya,GR Sport,2022,Automatic,115000000,175700000,17589839.17,15811016.08,128266951.8,17570000,122990000,113853600,121703517.3,117011055.2,112467586,112467586
Toyota,Veloz,Q TSS (Non Premium Color),2022,Automatic,205000000,312400000,31275274.66,28112472.53,228062582.4,31240000,218680000,202435200,216392594.1,208417778.2,200485696.8,200485696.8
Toyota,Corolla Cross,Hybrid,2021,Automatic,295000000,497800000,49836209.11,44796379.09,318614483.6,49780000,298680000,290316960,302537147.9,297261144.4,288503807.7,288503807.7
Toyota,Fortuner,VRZ TRD 4X2,2021,Automatic,385000000,568000000,56864135.74,51113586.43,363545654.3,56800000,340800000,331257600,345201084.8,373060325.4,376521918.5,373060325.4
Mitsubishi,Xpander,Ultimate,2021,Automatic,186000000,278900000,27921492,25097850.8,178508596.8,27890000,167340000,162654480,169501025.6,181050307.7,181904095.7,181050307.7
Honda,Brio,Satya E,2024,Automatic,150000000,198300000,19852391.05,17844760.89,180455239.1,19830000,178470000,158640000,172521746.4,156756523.9,146696851.4,146696851.4
Mazda,CX-5,Elite,2019,Automatic,250000000,578800000,57945355.22,52085464.48,266287213.1,57880000,231520000,273420489.6,257075900.9,252122770.3,244494752.3,244494752.3
Toyota,Avanza,G,2021,Automatic,150000000,220000000,22024841.31,19797515.87,140809936.5,22000000,132000000,128304000,133704645.5,145111393.7,146696851.4,145111393.7
Honda,Brio,Satya E,2020,Automatic,126000000,162600000,16278359.99,14632164,89439179.99,16260000,81300000,85345488,85361556,113808466.8,123225355.1,113808466.8
